NOMBRE.DE.LA.ESCUELA,Shift,ENTIDAD,NOMBRE.DEL.MUNICIPIO,SOSTENIMIENTO,MODALIDAD,GRADO.DE.MARGINACIÓN.DE.LA.LOCALIDAD.DONDE.SE.UBICA.EL.CCT,ALUMNOS.PROGRAMADOS.PARA.SER.EVALUADOS,ALUMNOS.EVALUADOS,X..DE.ALUMNOS.EVALUADOS.EN.LA.ESCUELA.EN.EL.2012,INSUFICIENTE,ELEMENTAL,BUENO,EXCELENTE,IPN
CECYT NO 9 JUAN DE DIOS BATIZ,Morning,DISTRITO FEDERAL,MIGUEL HIDALGO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,326,301,92.33,0,0,5.3,94.7,TRUE
CECYT NO 9 JUAN DE DIOS BATIZ,Afternoon,DISTRITO FEDERAL,MIGUEL HIDALGO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,240,176,73.33,0,0,10.5,89.5,TRUE
UNIVERSIDAD PANAMERICANA,Morning,DISTRITO FEDERAL,ALVARO OBREGON,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,181,176,97.24,0.6,3.5,16.3,79.7,FALSE
INSTITUTO FUNDACION AZTECA,Morning,DISTRITO FEDERAL,GUSTAVO A. MADERO,PRIVADO,BACHILLERATO TECNOLÓGICO,MUY BAJO,108,104,96.3,1,9.1,27.3,62.6,FALSE
RAFAEL GUIZAR Y VALENCIA,Morning,DISTRITO FEDERAL,TLAHUAC,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,91,53,58.24,0,8.9,28.9,62.2,FALSE
BACHILLERATO C.C.H. COLEGIO MADRID,Morning,DISTRITO FEDERAL,TLALPAN,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,107,74,69.16,0,7.4,33.8,58.8,FALSE
"TECNOLOGICO DE MONTERREY, CAMPUS CIUDAD DE MEXICO",Morning,DISTRITO FEDERAL,TLALPAN,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,696,619,88.94,0.5,12.6,31.4,55.5,FALSE
THE AMERICAN SCHOOL FOUNDATION AC,Morning,DISTRITO FEDERAL,ALVARO OBREGON,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,152,145,95.39,3,15.9,26.5,54.5,FALSE
CECYT NO.6 MIGUEL OTHON DE MENDIZABAL,Morning,DISTRITO FEDERAL,AZCAPOTZALCO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,666,592,88.89,0.7,9.2,36.8,53.3,TRUE
ITESM CAMPUS SANTA FE,Morning,DISTRITO FEDERAL,ALVARO OBREGON,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,268,260,97.01,2.4,13.9,38.1,45.6,FALSE
INSTITUTO FUNDACION AZTECA,Afternoon,DISTRITO FEDERAL,GUSTAVO A. MADERO,PRIVADO,BACHILLERATO TECNOLÓGICO,MUY BAJO,84,76,90.48,6.8,16.2,32.4,44.6,FALSE
C.E. TOMAS MORO,Morning,DISTRITO FEDERAL,CUAJIMALPA DE MORELOS,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,52,51,98.08,3.9,17.6,35.3,43.1,FALSE
"COLEGIO MEXICO BACHILLERATO, A.C.",Morning,DISTRITO FEDERAL,TLALPAN,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,187,185,98.93,3.5,21.1,33.9,41.5,FALSE
CETIS NO. 152,Morning,DISTRITO FEDERAL,MIGUEL HIDALGO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,121,107,88.43,4.7,22.6,32.1,40.6,FALSE
INSTITUTO EDUCATIVO OLINCA,Morning,DISTRITO FEDERAL,COYOACAN,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,59,51,86.44,2.1,25.5,31.9,40.4,FALSE
CECYT NO. 1 GONZALO VAZQUEZ VELA,Afternoon,DISTRITO FEDERAL,GUSTAVO A. MADERO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,347,226,65.13,2.9,21.3,37.7,38.2,TRUE
"CECYT NO.13 ""RICARDO FLORES MAGON""",Morning,DISTRITO FEDERAL,COYOACAN,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,713,651,91.3,1.7,22.5,39.2,36.7,TRUE
CECYT NO. 7 CUAUHTEMOC,Morning,DISTRITO FEDERAL,IZTAPALAPA,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,738,531,71.95,2.1,22.2,40.1,35.6,TRUE
COLEGIO ALEMAN ALEXANDER VON HUMBOLDT,Morning,DISTRITO FEDERAL,XOCHIMILCO,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,62,49,79.03,2.2,26.7,35.6,35.6,FALSE
"CET NUM. 1, WALTER CROSS BUCHANAN",Morning,DISTRITO FEDERAL,GUSTAVO A. MADERO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,423,358,84.63,3,25.9,37.7,33.4,FALSE
UNIVERSIDAD ANAHUAC BACHILLERATO CUMBRES,Morning,DISTRITO FEDERAL,CUAJIMALPA DE MORELOS,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,114,110,96.49,14,26.9,25.8,33.3,FALSE
CECYT NO. 11 WILFRIDO MASSIEU,Morning,DISTRITO FEDERAL,MIGUEL HIDALGO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,687,591,86.03,3.9,22.3,41.1,32.7,TRUE
CECYT 08 NARCISO BASSOLS,Morning,DISTRITO FEDERAL,AZCAPOTZALCO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,465,429,92.26,1.6,24.6,42.2,31.6,TRUE
CECYT NO. 1 GONZALO VAZQUEZ VELA,Morning,DISTRITO FEDERAL,GUSTAVO A. MADERO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,471,319,67.73,2.4,25.5,40.9,31.1,TRUE
CECYT NO.6 MIGUEL OTHON DE MENDIZABAL,Afternoon,DISTRITO FEDERAL,AZCAPOTZALCO,PÚBLICO,BACHILLERATO TECNOLÓGICO,MUY BAJO,431,344,79.81,1.9,24.7,43.1,30.3,TRUE
COLEGIO VISTA HERMOSA,Morning,DISTRITO FEDERAL,CUAJIMALPA DE MORELOS,PRIVADO,BACHILLERATO GENERAL,MUY BAJO,161,161,100,7,30.6,35,27.4,FALSE
